path,locale,routeFamily,inboundCount,graphClassification,inboundSources
"/en/articles/are-infj-men-rare-or-socially-silenced","en","article_detail","0","true_orphan",""
"/en/articles/best-valentines-date-by-personality-and-relationship-science","en","article_detail","0","true_orphan",""
"/en/articles/childhood-dream-job-still-shapes-career-choice","en","article_detail","0","true_orphan",""
"/en/articles/how-16-personality-types-talk-to-an-ai-coach","en","article_detail","0","true_orphan",""
"/en/articles/how-personality-shapes-attitude-toward-ai","en","article_detail","0","true_orphan",""
"/en/articles/which-love-script-fits-you-best","en","article_detail","0","true_orphan",""
"/zh/articles/are-infj-men-rare-or-socially-silenced","zh","article_detail","0","true_orphan",""
"/zh/articles/best-valentines-date-by-personality-and-relationship-science","zh","article_detail","0","true_orphan",""
"/zh/articles/big-five-growth-guide","zh","article_detail","0","true_orphan",""
"/zh/articles/big-five-narrative-portrait","zh","article_detail","0","true_orphan",""
"/zh/articles/big-five-tool-guide","zh","article_detail","0","true_orphan",""
"/zh/articles/childhood-dream-job-still-shapes-career-choice","zh","article_detail","0","true_orphan",""
"/zh/articles/eq-test-tool-guide","zh","article_detail","0","true_orphan",""
"/zh/articles/how-16-personality-types-talk-to-an-ai-coach","zh","article_detail","0","true_orphan",""
"/zh/articles/how-personality-shapes-attitude-toward-ai","zh","article_detail","0","true_orphan",""
"/zh/articles/iq-test-growth-guide","zh","article_detail","0","true_orphan",""
"/zh/articles/iq-test-narrative-portrait","zh","article_detail","0","true_orphan",""
"/zh/articles/iq-test-tool-guide","zh","article_detail","0","true_orphan",""
"/zh/articles/mbti-basics","zh","article_detail","0","true_orphan",""
"/zh/articles/mbti-growth-guide","zh","article_detail","0","true_orphan",""
"/zh/articles/mbti-narrative-portrait","zh","article_detail","0","true_orphan",""
"/zh/articles/which-love-script-fits-you-best","zh","article_detail","0","true_orphan",""
"/en/career/family/business-and-financial-37ec69bd","en","career_family","0","true_orphan",""
"/en/career/family/business-and-financial-a0352070","en","career_family","0","true_orphan",""
"/en/career/family/computer-and-information-technology","en","career_family","0","true_orphan",""
"/en/career/family/healthcare","en","career_family","0","true_orphan",""
"/zh/career/family/business-and-financial-37ec69bd","zh","career_family","0","true_orphan",""
"/zh/career/family/business-and-financial-a0352070","zh","career_family","0","true_orphan",""
"/zh/career/family/computer-and-information-technology","zh","career_family","0","true_orphan",""
"/zh/career/family/healthcare","zh","career_family","0","true_orphan",""
"/zh/career/guides/annual-career-review-system","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/big5-for-career-decisions","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/build-five-year-career-roadmap","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/build-portfolio-for-career-switch","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/career-growth-with-manager","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/career-risk-management","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/career-transition-playbook","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/cross-industry-move-strategy","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/first-90-days-in-new-role","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/from-mbti-to-job-fit","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/how-to-choose-college-major","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/how-to-find-right-career-direction","zh","career_guide_detail","0","true_orphan",""
"/zh/career/guides/improve-workplace-competitiveness","zh","career_guide_detail","0","true_orphan",""
