repair_pack,batch_index,seed_ordinal,slug,title_en,title_zh_seed,title_zh_cleaned,soc_code_seed,onet_code_seed,cn_priority_queries,cn_required_capture,us_official_priority,uk_priority,risk_flags
pack_5,241,229,craft-and-fine-artists,"Fine Artists, Including Painters, Sculptors, And Illustrators",美术艺术家（画家、雕塑家与插画师）,美术艺术家（画家、雕塑家与插画师）,27-1013,27-1013.00,"美术艺术家（画家、雕塑家与插画师） 工资 职友集 | 美术艺术家（画家、雕塑家与插画师） 薪资 猎聘 | 美术艺术家（画家、雕塑家与插画师） 月薪 BOSS 智联 | Fine Artists, Including Painters, Sculptors, And Illustrators 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes271013.htm | https://www.mynextmove.org/profile/summary/27-1013.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Fine Artists, Including Painters, Sculptors, And Illustrators"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_5,242,230,craft-artists,Craft Artists,工艺艺术家,工艺艺术家,27-1012,27-1012.00,工艺艺术家 工资 职友集 | 工艺艺术家 薪资 猎聘 | 工艺艺术家 月薪 BOSS 智联 | Craft Artists 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes271012.htm | https://www.mynextmove.org/profile/summary/27-1012.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Craft Artists"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_5,243,231,crane-and-tower-operators,Crane And Tower Operators,操作员,操作员,53-7021,53-7021.00,操作员 工资 职友集 | 操作员 薪资 猎聘 | 操作员 月薪 BOSS 智联 | Crane And Tower Operators 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes537021.htm | https://www.mynextmove.org/profile/summary/53-7021.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Crane And Tower Operators"" first; adjacent profile only with direct-not-found boundary and non-generic URL",zh_seed_title_needs_manual_cleaning
pack_5,244,232,credit-analysts,Credit Analysts,信用分析师,信用分析师,13-2041,13-2041.00,信用分析师 工资 职友集 | 信用分析师 薪资 猎聘 | 信用分析师 月薪 BOSS 智联 | Credit Analysts 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes132041.htm | https://www.mynextmove.org/profile/summary/13-2041.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Credit Analysts"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_5,245,233,credit-authorizers-checkers-and-clerks,"Credit Authorizers, Checkers, And Clerks",信贷授权员、核查员、文员,信贷授权员、核查员、文员,43-4041,43-4041.00,"信贷授权员、核查员、文员 工资 职友集 | 信贷授权员、核查员、文员 薪资 猎聘 | 信贷授权员、核查员、文员 月薪 BOSS 智联 | Credit Authorizers, Checkers, And Clerks 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes434041.htm | https://www.mynextmove.org/profile/summary/43-4041.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Credit Authorizers, Checkers, And Clerks"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_5,246,234,credit-counselors,Credit counselors,信贷咨询顾问适合谁？,信贷咨询顾问,13-2071,13-2071.00,信贷咨询顾问 工资 职友集 | 信贷咨询顾问 薪资 猎聘 | 信贷咨询顾问 月薪 BOSS 智联 | Credit counselors 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes132071.htm | https://www.mynextmove.org/profile/summary/13-2071.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Credit counselors"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_5,247,235,crematory-operators,Crematory Operators,火化设备操作员,火化设备操作员,39-4012,39-4012.00,火化设备操作员 工资 职友集 | 火化设备操作员 薪资 猎聘 | 火化设备操作员 月薪 BOSS 智联 | Crematory Operators 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes394012.htm | https://www.mynextmove.org/profile/summary/39-4012.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Crematory Operators"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_5,248,236,criminal-justice-and-law-enforcement-teachers-postsecondary,"Criminal Justice And Law Enforcement Teachers, Postsecondary",高校刑事司法与执法教师,高校刑事司法与执法教师,25-1111,25-1111.00,"高校刑事司法与执法教师 工资 职友集 | 高校刑事司法与执法教师 薪资 猎聘 | 高校刑事司法与执法教师 月薪 BOSS 智联 | Criminal Justice And Law Enforcement Teachers, Postsecondary 中国 招聘 薪资",specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes251111.htm | https://www.mynextmove.org/profile/summary/25-1111.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Criminal Justice And Law Enforcement Teachers, Postsecondary"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_5,249,237,critical-care-nurses,Critical Care Nurses,重症护理护士,重症护理护士,29-1141,29-1141.03,重症护理护士 工资 职友集 | 重症护理护士 薪资 猎聘 | 重症护理护士 月薪 BOSS 智联 | Critical Care Nurses 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes291141.htm | https://www.mynextmove.org/profile/summary/29-1141.03 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Critical Care Nurses"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
pack_5,250,238,crossing-guards-and-flaggers,Crossing Guards And Flaggers,交通路口警卫旗手,交通路口警卫旗手,33-9091,33-9091.00,交通路口警卫旗手 工资 职友集 | 交通路口警卫旗手 薪资 猎聘 | 交通路口警卫旗手 月薪 BOSS 智联 | Crossing Guards And Flaggers 中国 招聘 薪资,specific third-party URL with visible salary range/average/sample/distribution/job-posting text; no model-estimated CNY,https://www.bls.gov/oes/current/oes339091.htm | https://www.mynextmove.org/profile/summary/33-9091.00 | BLS OOH/CareerOneStop if direct profile exists,"UK National Careers direct search for ""Crossing Guards And Flaggers"" first; adjacent profile only with direct-not-found boundary and non-generic URL",
