canonical,group,kind,slug,page_baseline_status,clicks,impressions,ctr,average_position,query_page_match,inspection_status,historical_request_indexing_status
https://fermatmind.com/zh/personality/intj-a,NT,profile,intj-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/intj-t,NT,profile,intj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/intp-a,NT,profile,intp-a,pending_page_scoped_export,,,,,explicit_query_slug_match,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/intp-t,NT,profile,intp-t,pending_page_scoped_export,,,,,explicit_query_slug_match,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/entj-a,NT,profile,entj-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/entj-t,NT,profile,entj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/entp-a,NT,profile,entp-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/entp-t,NT,profile,entp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/infj-a,NF,profile,infj-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/infj-t,NF,profile,infj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/infp-a,NF,profile,infp-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/infp-t,NF,profile,infp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/enfj-a,NF,profile,enfj-a,pending_page_scoped_export,,,,,explicit_query_slug_match,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/enfj-t,NF,profile,enfj-t,pending_page_scoped_export,,,,,explicit_query_slug_match,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/enfp-a,NF,profile,enfp-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/enfp-t,NF,profile,enfp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/istj-a,SJ,profile,istj-a,pending_page_scoped_export,,,,,explicit_query_slug_match,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
https://fermatmind.com/zh/personality/istj-t,SJ,profile,istj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/isfj-a,SJ,profile,isfj-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/isfj-t,SJ,profile,isfj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/estj-a,SJ,profile,estj-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/estj-t,SJ,profile,estj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/esfj-a,SJ,profile,esfj-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
https://fermatmind.com/zh/personality/esfj-t,SJ,profile,esfj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/istp-a,SP,profile,istp-a,pending_page_scoped_export,,,,,explicit_query_slug_match,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
https://fermatmind.com/zh/personality/istp-t,SP,profile,istp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/isfp-a,SP,profile,isfp-a,pending_page_scoped_export,,,,,explicit_query_slug_match,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
https://fermatmind.com/zh/personality/isfp-t,SP,profile,isfp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/estp-a,SP,profile,estp-a,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/estp-t,SP,profile,estp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/esfp-a,SP,profile,esfp-a,pending_page_scoped_export,,,,,explicit_query_slug_match,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/esfp-t,SP,profile,esfp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/intj-a-vs-intj-t,NT,at_comparison,intj-a-vs-intj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/intp-a-vs-intp-t,NT,at_comparison,intp-a-vs-intp-t,pending_page_scoped_export,,,,,explicit_query_slug_match,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
https://fermatmind.com/zh/personality/entj-a-vs-entj-t,NT,at_comparison,entj-a-vs-entj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/entp-a-vs-entp-t,NT,at_comparison,entp-a-vs-entp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/infj-a-vs-infj-t,NF,at_comparison,infj-a-vs-infj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/infp-a-vs-infp-t,NF,at_comparison,infp-a-vs-infp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t,NF,at_comparison,enfj-a-vs-enfj-t,pending_page_scoped_export,,,,,explicit_query_slug_match,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/enfp-a-vs-enfp-t,NF,at_comparison,enfp-a-vs-enfp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/istj-a-vs-istj-t,SJ,at_comparison,istj-a-vs-istj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/isfj-a-vs-isfj-t,SJ,at_comparison,isfj-a-vs-isfj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/estj-a-vs-estj-t,SJ,at_comparison,estj-a-vs-estj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/esfj-a-vs-esfj-t,SJ,at_comparison,esfj-a-vs-esfj-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/istp-a-vs-istp-t,SP,at_comparison,istp-a-vs-istp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/isfp-a-vs-isfp-t,SP,at_comparison,isfp-a-vs-isfp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/estp-a-vs-estp-t,SP,at_comparison,estp-a-vs-estp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/esfp-a-vs-esfp-t,SP,at_comparison,esfp-a-vs-esfp-t,pending_page_scoped_export,,,,,pending_page_scoped_query_export,pending_separate_read_only_inspection,not_requested_in_read_only_gsc_44
https://fermatmind.com/zh/personality/intj-vs-intp,hot_cross_type,cross_type_comparison,intj-vs-intp,pending_page_scoped_export,,,,,explicit_query_slug_match,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
https://fermatmind.com/zh/personality/entj-vs-intj,hot_cross_type,cross_type_comparison,entj-vs-intj,pending_page_scoped_export,,,,,explicit_query_slug_match,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
https://fermatmind.com/zh/personality/infj-vs-infp,hot_cross_type,cross_type_comparison,infj-vs-infp,pending_page_scoped_export,,,,,explicit_query_slug_match,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
https://fermatmind.com/zh/personality/istj-vs-isfj,hot_cross_type,cross_type_comparison,istj-vs-isfj,pending_page_scoped_export,,,,,pending_page_scoped_query_export,available_in_mbti_gsc_25_evidence,submitted_in_mbti_gsc_25
