canonical,group,kind,slug,release_at,day_7_due_at,day_7_status,day_14_due_at,day_14_status,day_28_due_at,day_28_status,observed_at,coverage_status,indexing_status,notes
https://fermatmind.com/zh/personality/intj-a,NT,profile,intj-a,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/intj-t,NT,profile,intj-t,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/intp-a,NT,profile,intp-a,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/intp-t,NT,profile,intp-t,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/entj-a,NT,profile,entj-a,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/entj-t,NT,profile,entj-t,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/entp-a,NT,profile,entp-a,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/entp-t,NT,profile,entp-t,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/infj-a,NF,profile,infj-a,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/infj-t,NF,profile,infj-t,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/infp-a,NF,profile,infp-a,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/infp-t,NF,profile,infp-t,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
https://fermatmind.com/zh/personality/enfj-a,NF,profile,enfj-a,2026-07-27T16:51:43Z,2026-08-03T16:51:43.000Z,not_due,2026-08-10T16:51:43.000Z,not_due,2026-08-24T16:51:43.000Z,not_due,,not_observed,not_observed,All release-bound observation windows are not due at the captured time.
