batch_index,seed_ordinal,slug,title_en,title_zh_seed,soc_code_seed,onet_code_seed,batch_role,expected_locales
101,85,automotive-glass-installers-and-repairers,Automotive Glass Installers And Repairers,汽车玻璃安装工,49-3022,49-3022.00,new_50,zh-CN|en
102,86,automotive-service-technicians-and-mechanics,Automotive Service Technicians And Mechanics,汽车维修技师与机械师,49-3023,49-3023.00,new_50,zh-CN|en
103,87,aviation-inspectors,Aviation Inspectors,航空检查员,53-6051,53-6051.01,new_50,zh-CN|en
104,88,avionics-technicians,Avionics Technicians,航空电子技术员,49-2091,49-2091.00,new_50,zh-CN|en
105,89,baggage-porters-and-bellhops,Baggage Porters And Bellhops,行李搬运员行李员,39-6011,39-6011.00,new_50,zh-CN|en
106,90,bailiffs,Bailiffs,法警,33-3011,33-3011.00,new_50,zh-CN|en
107,91,bakers,Bakers,面包师,51-3011,51-3011.00,new_50,zh-CN|en
108,92,barbers,Barbers,理发师,39-5011,39-5011.00,new_50,zh-CN|en
109,93,barbers-hairstylists-and-cosmetologists,"Hairdressers, Hairstylists, And Cosmetologists",美发师、发型师与美容师,39-5012,39-5012.00,new_50,zh-CN|en
110,94,baristas,Baristas,咖啡师,35-3023,35-3023.01,new_50,zh-CN|en
111,95,bartenders,Bartenders,调酒师,35-3011,35-3011.00,new_50,zh-CN|en
112,96,bicycle-repairers,Bicycle Repairers,自行车修理工,49-3091,49-3091.00,new_50,zh-CN|en
113,97,bill-and-account-collectors,Bill and account collectors,账单与账款催收员适合谁？,43-3011,43-3011.00,new_50,zh-CN|en
114,98,billing-and-posting-clerks,Billing And Posting Clerks,账单过账文员,43-3021,43-3021.00,new_50,zh-CN|en
115,99,biochemists-and-biophysicists,Biochemists and biophysicists,生物化学家与生物物理学家适合谁？,19-1021,19-1021.00,new_50,zh-CN|en
116,100,biomedical-engineers,Bioengineers and biomedical engineers,生物工程师与生物医学工程师职业诊断,17-2031,17-2031.00,new_50,zh-CN|en
117,101,biofuels-processing-technicians,Biofuels Processing Technicians,生物燃料加工技术员,51-8099,51-8099.01,new_50,zh-CN|en
118,102,biofuels-production-managers,Biofuels Production Managers,生产经理,11-3051,11-3051.03,new_50,zh-CN|en
119,103,biofuels-biodiesel-technology-and-product-development-managers,Biofuels/Biodiesel Technology And Product Development Managers,经理,11-9041,11-9041.01,new_50,zh-CN|en
120,104,bioinformatics-scientists,Bioinformatics Scientists,生物信息学科学家,19-1029,19-1029.01,new_50,zh-CN|en
121,105,bioinformatics-technicians,Bioinformatics Technicians,生物信息技术员,15-2099,15-2099.01,new_50,zh-CN|en
122,106,biological-science-teachers-postsecondary,"Biological Science Teachers, Postsecondary",高校生物科学教师,25-1042,25-1042.00,new_50,zh-CN|en
123,107,biological-technicians,Biological Technicians,生物技术员,19-4021,19-4021.00,new_50,zh-CN|en
124,108,biologists,Biologists,生物学家,19-1029,19-1029.04,new_50,zh-CN|en
125,109,biomass-plant-technicians,Biomass Plant Technicians,生物质电厂技术员,51-8013,51-8013.03,new_50,zh-CN|en
126,110,biomass-power-plant-managers,Biomass Power Plant Managers,电力经理,11-3051,11-3051.04,new_50,zh-CN|en
127,111,biostatisticians,Biostatisticians,生物统计学家,15-2041,15-2041.01,new_50,zh-CN|en
128,112,blockchain-engineers,Blockchain Engineers,工程师,15-1299,15-1299.07,new_50,zh-CN|en
129,113,boilermakers,Boilermakers,锅炉制造与安装工,47-2011,47-2011.00,new_50,zh-CN|en
130,114,bookkeeping-accounting-and-auditing-clerks,"Bookkeeping, accounting, and auditing clerks",簿记、会计与审计文员适合谁？,43-3031,43-3031.00,new_50,zh-CN|en
131,115,brickmasons-and-blockmasons,Brickmasons And Blockmasons,砖石与砌块工,47-2021,47-2021.00,new_50,zh-CN|en
132,116,bridge-and-lock-tenders,Bridge And Lock Tenders,桥梁与船闸操作员,53-6011,53-6011.00,new_50,zh-CN|en
133,117,broadcast-announcers-and-radio-disc-jockeys,Broadcast Announcers And Radio Disc Jockeys,广播主持人电台唱片唱片骑师,27-3011,27-3011.00,new_50,zh-CN|en
134,118,broadcast-technicians,Broadcast Technicians,广播技术员,27-4012,27-4012.00,new_50,zh-CN|en
135,119,broadcast-and-sound-engineering-technicians,Audio And Video Technicians,音频与视频技术员,27-4011,27-4011.00,new_50,zh-CN|en
136,120,brokerage-clerks,Brokerage Clerks,经纪文员,43-4011,43-4011.00,new_50,zh-CN|en
137,121,brownfield-redevelopment-specialists-and-site-managers,Brownfield Redevelopment Specialists And Site Managers,专家经理,11-9199,11-9199.11,new_50,zh-CN|en
138,122,budget-analysts,Budget analysts,预算分析师职业诊断,13-2031,13-2031.00,new_50,zh-CN|en
139,123,bus-and-truck-mechanics-and-diesel-engine-specialists,Bus And Truck Mechanics And Diesel Engine Specialists,公交卡车机械师发动机专员,49-3031,49-3031.00,new_50,zh-CN|en
140,124,bus-drivers,"Bus Drivers, Transit And Intercity",公交与城际巴士司机,53-3052,53-3052.00,new_50,zh-CN|en
141,125,bus-drivers-school,"Bus Drivers, School",公交司机,53-3051,53-3051.00,new_50,zh-CN|en
142,126,bus-drivers-transit-and-intercity,"Bus Drivers, Transit And Intercity",公交司机、公交,53-3052,53-3052.00,new_50,zh-CN|en
143,127,business-continuity-planners,Business Continuity Planners,业务连续性规划师,13-1199,13-1199.04,new_50,zh-CN|en
144,128,business-intelligence-analysts,Business Intelligence Analysts,分析师商业,15-2051,15-2051.01,new_50,zh-CN|en
145,129,business-teachers-postsecondary,"Business Teachers, Postsecondary",教师商业,25-1011,25-1011.00,new_50,zh-CN|en
146,130,butchers-and-meat-cutters,Butchers And Meat Cutters,屠宰工肉类切割工,51-3021,51-3021.00,new_50,zh-CN|en
147,131,buyers-and-purchasing-agents-farm-products,"Buyers And Purchasing Agents, Farm Products",采购员采购、农场产品,13-1021,13-1021.00,new_50,zh-CN|en
148,132,cabinetmakers-and-bench-carpenters,Cabinetmakers And Bench Carpenters,橱柜制造工台架木工,51-7011,51-7011.00,new_50,zh-CN|en
149,133,calibration-technologists-and-technicians,Calibration Technologists And Technicians,校准技术员,17-3028,17-3028.00,new_50,zh-CN|en
150,134,camera-and-photographic-equipment-repairers,Camera And Photographic Equipment Repairers,摄像设备,49-9061,49-9061.00,new_50,zh-CN|en
