owner_row_id,topic,locale,normalized_query,window_id,page,is_public_canonical,proposed_primary_owner,is_proposed_owner,clicks,impressions,ctr,position,page_count,query_total_impressions,non_owner_impressions,non_owner_share,query_status,evidence_status
1,MBTI,zh,16 人格测试,current28,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,0,15,0.00000000,8.8000,1,15,0,0.000000,OBSERVED_SINGLE_PAGE,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
1,MBTI,zh,16人格测试,current28,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,1,321,0.00311526,8.0467,1,321,0,0.000000,OBSERVED_SINGLE_PAGE,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
1,MBTI,zh,16型人格测试,current28,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,4,290,0.01379310,7.9310,1,290,0,0.000000,OBSERVED_SINGLE_PAGE,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
1,MBTI,zh,16型人格測試,current28,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,0,15,0.00000000,9.4667,1,15,0,0.000000,OBSERVED_SINGLE_PAGE,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
1,MBTI,zh,16种人格测试,current28,https://fermatmind.com/zh/articles/mbti-basics,true,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,false,0,1,0.00000000,17.0000,2,51,1,0.019608,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
1,MBTI,zh,16种人格测试,current28,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,0,50,0.00000000,8.8400,2,51,1,0.019608,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
14,Enneagram,zh,9型人格测试,current28,https://fermatmind.com/zh/tests/enneagram-personality-test,false,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,false,0,11,0.00000000,8.7273,2,27,0,0.000000,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
14,Enneagram,zh,9型人格测试,current28,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,true,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,true,0,16,0.00000000,7.5625,2,27,0,0.000000,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
14,Enneagram,zh,9型人格测试免费,current28,https://fermatmind.com/zh/tests/enneagram-personality-test,false,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,false,0,5,0.00000000,9.4000,2,17,0,0.000000,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
14,Enneagram,zh,9型人格测试免费,current28,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,true,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,true,1,12,0.08333333,6.7500,2,17,0,0.000000,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
8,Big Five,en,big 5 ocean test,current28,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,true,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,true,0,3,0.00000000,65.0000,1,3,0,0.000000,LOW_VOLUME_OBSERVED,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
