owner_row_id,topic,locale,exact_query,normalized_query,proposed_primary_owner,current28_observed,observed_windows,mapping_basis
1,MBTI,zh,16 人格测试,16 人格测试,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,16人格测试,16人格测试,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,16型人格测试,16型人格测试,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,16型人格測試,16型人格測試,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,16种人格测试,16种人格测试,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,mbti 16 型 人格 測驗 免費,mbti 16 型 人格 測驗 免費,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,mbti test 免費,mbti test 免費,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,mbti 人格 测试 免费,mbti 人格 测试 免费,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,mbti 免费,mbti 免费,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
1,MBTI,zh,mbti 免费测试,mbti 免费测试,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,true,current28|day90|prev28,REVIEWED_EXACT_ALIAS_NO_FUZZY_MATCH
