slug,locale,url,status,ok,preview,source_count,internal_keys,unsafe_outcome,raw_enum,en_contains_cjk,error
accountants-and-auditors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
accountants-and-auditors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/accountants-and-auditors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
actuaries,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/actuaries/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
actuaries,en,https://staging.fermatmind.com/api/v0.5/career/jobs/actuaries/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
computer-programmers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/computer-programmers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
computer-programmers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/computer-programmers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
agents-and-business-managers-of-artists-performers-and-athletes,en,https://staging.fermatmind.com/api/v0.5/career/jobs/agents-and-business-managers-of-artists-performers-and-athletes/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
writers-and-authors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/writers-and-authors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
writers-and-authors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/writers-and-authors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
zoologists-and-wildlife-biologists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/zoologists-and-wildlife-biologists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
zoologists-and-wildlife-biologists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/zoologists-and-wildlife-biologists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
wind-turbine-technicians,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/wind-turbine-technicians/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
wind-turbine-technicians,en,https://staging.fermatmind.com/api/v0.5/career/jobs/wind-turbine-technicians/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
woodworking-machine-setters-operators-and-tenders-except-sawing,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
woodworking-machine-setters-operators-and-tenders-except-sawing,en,https://staging.fermatmind.com/api/v0.5/career/jobs/woodworking-machine-setters-operators-and-tenders-except-sawing/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
air-traffic-controllers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/air-traffic-controllers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
air-traffic-controllers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/air-traffic-controllers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
athletes-and-sports-competitors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/athletes-and-sports-competitors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
athletes-and-sports-competitors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/athletes-and-sports-competitors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
acute-care-nurses,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/acute-care-nurses/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
acute-care-nurses,en,https://staging.fermatmind.com/api/v0.5/career/jobs/acute-care-nurses/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
emergency-medicine-physicians,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/emergency-medicine-physicians/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
emergency-medicine-physicians,en,https://staging.fermatmind.com/api/v0.5/career/jobs/emergency-medicine-physicians/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
nurse-anesthetists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/nurse-anesthetists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
nurse-anesthetists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/nurse-anesthetists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
pharmacists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/pharmacists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
pharmacists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/pharmacists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
diagnostic-medical-sonographers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/diagnostic-medical-sonographers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
diagnostic-medical-sonographers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/diagnostic-medical-sonographers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
medical-and-clinical-laboratory-technologists,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/medical-and-clinical-laboratory-technologists/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
medical-and-clinical-laboratory-technologists,en,https://staging.fermatmind.com/api/v0.5/career/jobs/medical-and-clinical-laboratory-technologists/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
genetic-counselors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/genetic-counselors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
genetic-counselors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/genetic-counselors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
physicians-and-surgeons,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/physicians-and-surgeons/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
physicians-and-surgeons,en,https://staging.fermatmind.com/api/v0.5/career/jobs/physicians-and-surgeons/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
airline-pilots-copilots-and-flight-engineers,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/airline-pilots-copilots-and-flight-engineers/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
airline-pilots-copilots-and-flight-engineers,en,https://staging.fermatmind.com/api/v0.5/career/jobs/airline-pilots-copilots-and-flight-engineers/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
aviation-inspectors,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aviation-inspectors/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
aviation-inspectors,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aviation-inspectors/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-and-avionics-equipment-mechanics-and-technicians/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
aircraft-and-avionics-equipment-mechanics-and-technicians,en,https://staging.fermatmind.com/api/v0.5/career/jobs/aircraft-and-avionics-equipment-mechanics-and-technicians/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
commercial-pilots,zh-CN,https://staging.fermatmind.com/api/v0.5/career/jobs/commercial-pilots/ai-impact-asset?locale=zh-CN,200,true,true,5,,false,false,false,
commercial-pilots,en,https://staging.fermatmind.com/api/v0.5/career/jobs/commercial-pilots/ai-impact-asset?locale=en,200,true,true,5,,false,false,false,
