eu_status_default,forbidden,slug,source_target
macro_context_only,EU-wide occupation median salary without occupation-specific source,crushing-grinding-and-polishing-machine-setters-operators-and-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,curators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,customer-service-representatives,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,customs-and-border-protection-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,customs-brokers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cutters-and-trimmers-hand,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cutting-and-slicing-machine-setters-operators-and-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cytogenetic-technologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cytotechnologists,Eurostat labour-market earnings macro context
