eu_status_default,forbidden,slug,source_target
macro_context_only,EU-wide occupation median salary without occupation-specific source,dancers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dancers-and-choreographers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,data-entry-keyers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,data-warehousing-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,database-administrators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,database-architects,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,delivery-truck-drivers-and-driver-sales-workers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,demonstrators-and-product-promoters,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dental-assistants,Eurostat labour-market earnings macro context
