eu_status_default,forbidden,slug,source_target
macro_context_only,EU-wide occupation median salary without occupation-specific source,drafters,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,dredge-operators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,drilling-and-boring-machine-tool-setters-operators-and-tenders-metal-and-plastic,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,driver-sales-workers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,drywall-and-ceiling-tile-installers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,drywall-and-ceiling-tile-installers-and-tapers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,earth-drillers-except-oil-and-gas,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,economics-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,economists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,editors,Eurostat labour-market earnings macro context
