forbidden,priority_queries,required_capture,slug,title_en,title_zh_seed
official China occupational wage wording; invented sample count,口腔卫生师适合谁？ 工资 职友集 | 口腔卫生师适合谁？ 薪资 招聘 | 口腔卫生师适合谁？ 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dental-hygienists,Dental hygienists,口腔卫生师适合谁？
official China occupational wage wording; invented sample count,牙科技工室技术员 工资 职友集 | 牙科技工室技术员 薪资 招聘 | 牙科技工室技术员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dental-laboratory-technicians,Dental Laboratory Technicians,牙科技工室技术员
official China occupational wage wording; invented sample count,普通牙医职业诊断 工资 职友集 | 普通牙医职业诊断 薪资 招聘 | 普通牙医职业诊断 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dentists,"Dentists, General",普通牙医职业诊断
official China occupational wage wording; invented sample count,专家牙医 工资 职友集 | 专家牙医 薪资 招聘 | 专家牙医 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dentists-all-other-specialists,"Dentists, All Other Specialists",专家牙医
official China occupational wage wording; invented sample count,牙医、普通 工资 职友集 | 牙医、普通 薪资 招聘 | 牙医、普通 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dentists-general,"Dentists, General",牙医、普通
official China occupational wage wording; invented sample count,皮肤科医师 工资 职友集 | 皮肤科医师 薪资 招聘 | 皮肤科医师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dermatologists,Dermatologists,皮肤科医师
official China occupational wage wording; invented sample count,操作员、石油天然气 工资 职友集 | 操作员、石油天然气 薪资 招聘 | 操作员、石油天然气 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,derrick-operators-oil-and-gas,"Derrick Operators, Oil And Gas",操作员、石油天然气
official China occupational wage wording; invented sample count,桌面出版专员适合谁？ 工资 职友集 | 桌面出版专员适合谁？ 薪资 招聘 | 桌面出版专员适合谁？ 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,desktop-publishers,Desktop publishers,桌面出版专员适合谁？
official China occupational wage wording; invented sample count,侦探刑事调查员 工资 职友集 | 侦探刑事调查员 薪资 招聘 | 侦探刑事调查员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,detectives-and-criminal-investigators,Detectives And Criminal Investigators,侦探刑事调查员
official China occupational wage wording; invented sample count,医学超声诊断师适合谁？ 工资 职友集 | 医学超声诊断师适合谁？ 薪资 招聘 | 医学超声诊断师适合谁？ 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,diagnostic-medical-sonographers,Diagnostic medical sonographers,医学超声诊断师适合谁？
