forbidden,priority_queries,required_capture,slug,title_en,title_zh_seed
official China occupational wage wording; invented sample count,建筑与土木制图员 工资 职友集 | 建筑与土木制图员 薪资 招聘 | 建筑与土木制图员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,drafters,Architectural And Civil Drafters,建筑与土木制图员
official China occupational wage wording; invented sample count,挖泥船操作员 工资 职友集 | 挖泥船操作员 薪资 招聘 | 挖泥船操作员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dredge-operators,Dredge Operators,挖泥船操作员
official China occupational wage wording; invented sample count,机器工具铺设工、操作员、看护员、金属塑料 工资 职友集 | 机器工具铺设工、操作员、看护员、金属塑料 薪资 招聘 | 机器工具铺设工、操作员、看护员、金属塑料 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,drilling-and-boring-machine-tool-setters-operators-and-tenders-metal-and-plastic,"Drilling And Boring Machine Tool Setters, Operators, And Tenders, Metal And Plastic",机器工具铺设工、操作员、看护员、金属塑料
official China occupational wage wording; invented sample count,工人销售 工资 职友集 | 工人销售 薪资 招聘 | 工人销售 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,driver-sales-workers,Driver/Sales Workers,工人销售
official China occupational wage wording; invented sample count,石膏板与天花板瓷砖安装工 工资 职友集 | 石膏板与天花板瓷砖安装工 薪资 招聘 | 石膏板与天花板瓷砖安装工 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,drywall-and-ceiling-tile-installers,Drywall And Ceiling Tile Installers,石膏板与天花板瓷砖安装工
official China occupational wage wording; invented sample count,石膏板与吊顶板安装工 工资 职友集 | 石膏板与吊顶板安装工 薪资 招聘 | 石膏板与吊顶板安装工 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,drywall-and-ceiling-tile-installers-and-tapers,Drywall And Ceiling Tile Installers,石膏板与吊顶板安装工
official China occupational wage wording; invented sample count,土方钻探工、石油天然气 工资 职友集 | 土方钻探工、石油天然气 薪资 招聘 | 土方钻探工、石油天然气 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,earth-drillers-except-oil-and-gas,"Earth Drillers, Except Oil And Gas",土方钻探工、石油天然气
official China occupational wage wording; invented sample count,高校经济学教师 工资 职友集 | 高校经济学教师 薪资 招聘 | 高校经济学教师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,economics-teachers-postsecondary,"Economics Teachers, Postsecondary",高校经济学教师
official China occupational wage wording; invented sample count,经济学家 工资 职友集 | 经济学家 薪资 招聘 | 经济学家 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,economists,Economists,经济学家
official China occupational wage wording; invented sample count,编辑 工资 职友集 | 编辑 薪资 招聘 | 编辑 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,editors,Editors,编辑
