forbidden,priority_queries,required_capture,slug,title_en,title_zh_seed
official China occupational wage wording; invented sample count,舞者 工资 职友集 | 舞者 薪资 招聘 | 舞者 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dancers,Dancers,舞者
official China occupational wage wording; invented sample count,舞者 工资 职友集 | 舞者 薪资 招聘 | 舞者 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dancers-and-choreographers,Dancers,舞者
official China occupational wage wording; invented sample count,数据录入员 工资 职友集 | 数据录入员 薪资 招聘 | 数据录入员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,data-entry-keyers,Data Entry Keyers,数据录入员
official China occupational wage wording; invented sample count,数据专员 工资 职友集 | 数据专员 薪资 招聘 | 数据专员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,data-warehousing-specialists,Data Warehousing Specialists,数据专员
official China occupational wage wording; invented sample count,数据库管理员 工资 职友集 | 数据库管理员 薪资 招聘 | 数据库管理员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,database-administrators,Database Administrators,数据库管理员
official China occupational wage wording; invented sample count,建筑师 工资 职友集 | 建筑师 薪资 招聘 | 建筑师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,database-architects,Database Architects,建筑师
official China occupational wage wording; invented sample count,轻型卡车司机 工资 职友集 | 轻型卡车司机 薪资 招聘 | 轻型卡车司机 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,delivery-truck-drivers-and-driver-sales-workers,Light Truck Drivers,轻型卡车司机
official China occupational wage wording; invented sample count,演示员推广员 工资 职友集 | 演示员推广员 薪资 招聘 | 演示员推广员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,demonstrators-and-product-promoters,Demonstrators And Product Promoters,演示员推广员
official China occupational wage wording; invented sample count,牙科实验室技术员 工资 职友集 | 牙科实验室技术员 薪资 招聘 | 牙科实验室技术员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,Dental Laboratory Technicians,牙科实验室技术员
official China occupational wage wording; invented sample count,牙科助理适合谁？ 工资 职友集 | 牙科助理适合谁？ 薪资 招聘 | 牙科助理适合谁？ 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dental-assistants,Dental assistants,牙科助理适合谁？
