locale,slug
zh-CN,accountants-and-auditors
en,accountants-and-auditors
zh-CN,actors
en,actors
zh-CN,agricultural-engineers
en,agricultural-engineers
zh-CN,aerospace-engineers
en,aerospace-engineers
zh-CN,registered-nurses
en,registered-nurses
zh-CN,anesthesiologists
en,anesthesiologists
zh-CN,high-school-teachers
en,high-school-teachers
zh-CN,administrative-services-managers
en,administrative-services-managers
zh-CN,advertising-sales-agents
en,advertising-sales-agents
zh-CN,art-directors
en,art-directors
zh-CN,aircraft-mechanics-and-service-technicians
en,aircraft-mechanics-and-service-technicians
zh-CN,electricians
en,electricians
zh-CN,cashiers
en,cashiers
zh-CN,waiters-and-waitresses
en,waiters-and-waitresses
zh-CN,data-scientists
en,data-scientists
zh-CN,web-developers
en,web-developers
zh-CN,computer-programmers
en,computer-programmers
zh-CN,project-management-specialists
en,project-management-specialists
zh-CN,agricultural-workers
en,agricultural-workers
zh-CN,animal-caretakers
en,animal-caretakers
zh-CN,architects-except-landscape-and-naval
en,architects-except-landscape-and-naval
zh-CN,airline-pilots-copilots-and-flight-engineers
en,airline-pilots-copilots-and-flight-engineers
zh-CN,air-traffic-controllers
en,air-traffic-controllers
zh-CN,music-therapists
en,music-therapists
zh-CN,surgical-technologists
en,surgical-technologists
zh-CN,civil-engineers
en,civil-engineers
zh-CN,mechanical-engineers
en,mechanical-engineers
zh-CN,elementary-school-teachers-except-special-education
en,elementary-school-teachers-except-special-education
zh-CN,sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products
en,sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products
zh-CN,chefs-and-head-cooks
en,chefs-and-head-cooks
zh-CN,actuaries
en,actuaries
zh-CN,acupuncturists
en,acupuncturists
zh-CN,acute-care-nurses
en,acute-care-nurses
zh-CN,adapted-physical-education-specialists
en,adapted-physical-education-specialists
zh-CN,adhesive-bonding-machine-operators-and-tenders
en,adhesive-bonding-machine-operators-and-tenders
zh-CN,administrative-law-judges-adjudicators-and-hearing-officers
en,administrative-law-judges-adjudicators-and-hearing-officers
zh-CN,adult-literacy-and-ged-teachers
en,adult-literacy-and-ged-teachers
zh-CN,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors
en,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors
zh-CN,advanced-practice-psychiatric-nurses
en,advanced-practice-psychiatric-nurses
zh-CN,advertising-and-promotions-managers
en,advertising-and-promotions-managers
zh-CN,advertising-promotions-and-marketing-managers
en,advertising-promotions-and-marketing-managers
zh-CN,aerospace-engineering-and-operations-technicians
en,aerospace-engineering-and-operations-technicians
zh-CN,agents-and-business-managers-of-artists-performers-and-athletes
en,agents-and-business-managers-of-artists-performers-and-athletes
zh-CN,agricultural-and-food-science-technicians
en,agricultural-and-food-science-technicians
zh-CN,agricultural-and-food-scientists
en,agricultural-and-food-scientists
zh-CN,agricultural-equipment-operators
en,agricultural-equipment-operators
zh-CN,agricultural-inspectors
en,agricultural-inspectors
zh-CN,agricultural-sciences-teachers-postsecondary
